year_month,rainfall_in,normal_in,anomaly_in,anomaly_pct
1997-09,8.15,8.5,-0.35,-4.1
1997-10,10.44,9.89,0.55,5.6
1997-11,9.79,14.4,-4.61,-32.0
1997-12,7.64,11.3,-3.66,-32.4
1998-01,0.38,8.71,-8.33,-95.6
1998-02,1.67,9.95,-8.28,-83.2
1998-03,3.74,11.71,-7.97,-68.1
1998-04,10.1,9.14,0.96,10.5
1998-05,14.88,7.37,7.51,101.9
1998-06,11.04,7.22,3.82,52.9
1998-07,7.12,9.06,-1.94,-21.4
1998-08,8.82,9.89,-1.07,-10.8
1998-09,10.36,8.5,1.86,21.9
1998-10,16.49,9.89,6.6,66.7
1998-11,16.27,14.4,1.87,13.0
1998-12,10.22,11.3,-1.08,-9.6
1999-01,15.04,8.71,6.33,72.7
1999-02,19.22,9.95,9.27,93.2
1999-03,14.53,11.71,2.82,24.1
1999-04,13.8,9.14,4.66,51.0
1999-05,3.35,7.37,-4.02,-54.5
1999-06,4.4,7.22,-2.82,-39.1
1999-07,4.12,9.06,-4.94,-54.5
1999-08,9.36,9.89,-0.53,-5.4
1999-09,5.87,8.5,-2.63,-30.9
1999-10,4.78,9.89,-5.11,-51.7
1999-11,9.23,14.4,-5.17,-35.9
1999-12,15.08,11.3,3.78,33.5
2000-01,16.39,8.71,7.68,88.2
2000-02,0.67,9.95,-9.28,-93.3
2000-03,5.85,11.71,-5.86,-50.0
2000-04,7.46,9.14,-1.68,-18.4
2000-05,3.56,7.37,-3.81,-51.7
2000-06,7.21,7.22,-0.01,-0.1
2000-07,13.58,9.06,4.52,49.9
2000-08,11.59,9.89,1.7,17.2
2000-09,8.87,8.5,0.37,4.4
2000-10,17.74,9.89,7.85,79.4
2000-11,36.57,14.4,22.17,154.0
2000-12,3.14,11.3,-8.16,-72.2
2001-01,2.36,8.71,-6.35,-72.9
2001-02,10.16,9.95,0.21,2.1
2001-03,8.21,11.71,-3.5,-29.9
2001-04,14.34,9.14,5.2,56.9
2001-05,4.22,7.37,-3.15,-42.7
2001-06,3.92,7.22,-3.3,-45.7
2001-07,7.53,9.06,-1.53,-16.9
2001-08,8.0,9.89,-1.89,-19.1
2001-09,7.98,8.5,-0.52,-6.1
2001-10,14.94,9.89,5.05,51.1
2001-11,18.43,14.4,4.03,28.0
2001-12,13.72,11.3,2.42,21.4
2002-01,22.89,8.71,14.18,162.8
2002-02,11.94,9.95,1.99,20.0
2002-03,9.67,11.71,-2.04,-17.4
2002-04,8.0,9.14,-1.14,-12.5
2002-05,13.64,7.37,6.27,85.1
2002-06,7.77,7.22,0.55,7.6
2002-07,8.71,9.06,-0.35,-3.9
2002-08,11.37,9.89,1.48,15.0
2002-09,7.63,8.5,-0.87,-10.2
2002-10,6.49,9.89,-3.4,-34.4
2002-11,2.21,14.4,-12.19,-84.7
2002-12,9.57,11.3,-1.73,-15.3
2003-01,1.24,8.71,-7.47,-85.8
2003-02,4.04,9.95,-5.91,-59.4
2003-03,1.77,11.71,-9.94,-84.9
2003-04,13.22,9.14,4.08,44.6
2003-05,5.8,7.37,-1.57,-21.3
2003-06,6.31,7.22,-0.91,-12.6
2003-07,10.4,9.06,1.34,14.8
2003-08,10.79,9.89,0.9,9.1
2003-09,6.87,8.5,-1.63,-19.2
2003-10,3.59,9.89,-6.3,-63.7
2003-11,14.39,14.4,-0.01,-0.1
2003-12,10.9,11.3,-0.4,-3.5
2004-01,12.56,8.71,3.85,44.2
2004-02,7.57,9.95,-2.38,-23.9
2004-03,22.91,11.71,11.2,95.6
2004-04,18.17,9.14,9.03,98.8
2004-05,7.52,7.37,0.15,2.0
2004-06,5.96,7.22,-1.26,-17.5
2004-07,4.68,9.06,-4.38,-48.3
2004-08,5.62,9.89,-4.27,-43.2
2004-09,4.55,8.5,-3.95,-46.5
2004-10,12.51,9.89,2.62,26.5
2004-11,10.45,14.4,-3.95,-27.4
2004-12,9.73,11.3,-1.57,-13.9
2005-01,4.15,8.71,-4.56,-52.4
2005-02,7.41,9.95,-2.54,-25.5
2005-03,14.01,11.71,2.3,19.6
2005-04,8.07,9.14,-1.07,-11.7
2005-05,2.69,7.37,-4.68,-63.5
2005-06,11.18,7.22,3.96,54.8
2005-07,9.02,9.06,-0.04,-0.4
2005-08,7.66,9.89,-2.23,-22.5
2005-09,21.1,8.5,12.6,148.2
2005-10,15.21,9.89,5.32,53.8
2005-11,10.6,14.4,-3.8,-26.4
2005-12,6.01,11.3,-5.29,-46.8
2006-01,12.21,8.71,3.5,40.2
2006-02,10.04,9.95,0.09,0.9
2006-03,26.63,11.71,14.92,127.4
2006-04,8.97,9.14,-0.17,-1.9
2006-05,22.05,7.37,14.68,199.2
2006-06,4.89,7.22,-2.33,-32.3
2006-07,8.5,9.06,-0.56,-6.2
2006-08,6.78,9.89,-3.11,-31.4
2006-09,10.06,8.5,1.56,18.4
2006-10,9.15,9.89,-0.74,-7.5
2006-11,4.46,14.4,-9.94,-69.0
2006-12,6.6,11.3,-4.7,-41.6
2007-01,12.64,8.71,3.93,45.1
2007-02,11.63,9.95,1.68,16.9
2007-03,5.3,11.71,-6.41,-54.7
2007-04,7.94,9.14,-1.2,-13.1
2007-05,2.4,7.37,-4.97,-67.4
2007-06,6.22,7.22,-1.0,-13.9
2007-07,6.24,9.06,-2.82,-31.1
2007-08,7.27,9.89,-2.62,-26.5
2007-09,9.25,8.5,0.75,8.8
2007-10,9.01,9.89,-0.88,-8.9
2007-11,9.87,14.4,-4.53,-31.5
2007-12,20.75,11.3,9.45,83.6
2008-01,14.59,8.71,5.88,67.5
2008-02,34.13,9.95,24.18,243.0
2008-03,6.01,11.71,-5.7,-48.7
2008-04,5.94,9.14,-3.2,-35.0
2008-05,4.96,7.37,-2.41,-32.7
2008-06,3.05,7.22,-4.17,-57.8
2008-07,6.37,9.06,-2.69,-29.7
2008-08,4.65,9.89,-5.24,-53.0
2008-09,3.61,8.5,-4.89,-57.5
2008-10,5.41,9.89,-4.48,-45.3
2008-11,6.83,14.4,-7.57,-52.6
2008-12,24.83,11.3,13.53,119.7
2009-01,6.98,8.71,-1.73,-19.9
2009-02,10.36,9.95,0.41,4.1
2009-03,25.19,11.71,13.48,115.1
2009-04,11.77,9.14,2.63,28.8
2009-05,2.17,7.37,-5.2,-70.6
2009-06,6.96,7.22,-0.26,-3.6
2009-07,8.36,9.06,-0.7,-7.7
2009-08,5.29,9.89,-4.6,-46.5
2009-09,7.44,8.5,-1.06,-12.5
2009-10,9.2,9.89,-0.69,-7.0
2009-11,18.97,14.4,4.57,31.7
2009-12,8.82,11.3,-2.48,-21.9
2010-01,1.47,8.71,-7.24,-83.1
2010-02,2.49,9.95,-7.46,-75.0
2010-03,10.09,11.71,-1.62,-13.8
2010-04,8.51,9.14,-0.63,-6.9
2010-05,3.51,7.37,-3.86,-52.4
2010-06,4.72,7.22,-2.5,-34.6
2010-07,4.21,9.06,-4.85,-53.5
2010-08,4.16,9.89,-5.73,-57.9
2010-09,3.19,8.5,-5.31,-62.5
2010-10,8.25,9.89,-1.64,-16.6
2010-11,9.4,14.4,-5.0,-34.7
2010-12,6.39,11.3,-4.91,-43.5
2011-01,3.52,8.71,-5.19,-59.6
2011-02,2.9,9.95,-7.05,-70.9
2011-03,11.41,11.71,-0.3,-2.6
2011-04,4.7,9.14,-4.44,-48.6
2011-05,8.88,7.37,1.51,20.5
2011-06,7.15,7.22,-0.07,-1.0
2011-07,5.09,9.06,-3.97,-43.8
2011-08,7.53,9.89,-2.36,-23.9
2011-09,5.09,8.5,-3.41,-40.1
2011-10,4.78,9.89,-5.11,-51.7
2011-11,16.76,14.4,2.36,16.4
2011-12,22.31,11.3,11.01,97.4
2012-01,2.18,8.71,-6.53,-75.0
2012-02,15.25,9.95,5.3,53.3
2012-03,13.09,11.71,1.38,11.8
2012-04,7.13,9.14,-2.01,-22.0
2012-05,6.91,7.37,-0.46,-6.2
2012-06,8.57,7.22,1.35,18.7
2012-07,8.71,9.06,-0.35,-3.9
2012-08,6.85,9.89,-3.04,-30.7
2012-09,5.49,8.5,-3.01,-35.4
2012-10,3.4,9.89,-6.49,-65.6
2012-11,5.66,14.4,-8.74,-60.7
2012-12,10.78,11.3,-0.52,-4.6
2013-01,7.76,8.71,-0.95,-10.9
2013-02,23.35,9.95,13.4,134.7
2013-03,4.72,11.71,-6.99,-59.7
2013-04,2.63,9.14,-6.51,-71.2
2013-05,7.79,7.37,0.42,5.7
2013-06,4.34,7.22,-2.88,-39.9
2013-07,4.85,9.06,-4.21,-46.5
2013-08,5.99,9.89,-3.9,-39.4
2013-09,4.33,8.5,-4.17,-49.1
2013-10,5.29,9.89,-4.6,-46.5
2013-11,7.23,14.4,-7.17,-49.8
2013-12,18.89,11.3,7.59,67.2
2014-01,6.28,8.71,-2.43,-27.9
2014-02,2.55,9.95,-7.4,-74.4
2014-03,16.6,11.71,4.89,41.8
2014-04,14.36,9.14,5.22,57.1
2014-05,6.12,7.37,-1.25,-17.0
2014-06,6.74,7.22,-0.48,-6.6
2014-07,15.69,9.06,6.63,73.2
2014-08,9.66,9.89,-0.23,-2.3
2014-09,3.95,8.5,-4.55,-53.5
2014-10,11.44,9.89,1.55,15.7
2014-11,10.66,14.4,-3.74,-26.0
2014-12,5.5,11.3,-5.8,-51.3
2015-01,3.62,8.71,-5.09,-58.4
2015-02,3.67,9.95,-6.28,-63.1
2015-03,8.33,11.71,-3.38,-28.9
2015-04,14.7,9.14,5.56,60.8
2015-05,9.17,7.37,1.8,24.4
2015-06,6.9,7.22,-0.32,-4.4
2015-07,8.15,9.06,-0.91,-10.0
2015-08,13.68,9.89,3.79,38.3
2015-09,22.15,8.5,13.65,160.6
2015-10,13.17,9.89,3.28,33.2
2015-11,25.13,14.4,10.73,74.5
2015-12,14.15,11.3,2.85,25.2
2016-01,1.35,8.71,-7.36,-84.5
2016-02,2.6,9.95,-7.35,-73.9
2016-03,5.21,11.71,-6.5,-55.5
2016-04,10.38,9.14,1.24,13.6
2016-05,6.21,7.37,-1.16,-15.7
2016-06,11.99,7.22,4.77,66.1
2016-07,8.33,9.06,-0.73,-8.1
2016-08,18.03,9.89,8.14,82.3
2016-09,12.25,8.5,3.75,44.1
2016-10,20.36,9.89,10.47,105.9
2016-11,9.34,14.4,-5.06,-35.1
2016-12,19.9,11.3,8.6,76.1
2017-01,11.12,8.71,2.41,27.7
2017-02,3.62,9.95,-6.33,-63.6
2017-03,3.81,11.71,-7.9,-67.5
2017-04,5.67,9.14,-3.47,-38.0
2017-05,7.9,7.37,0.53,7.2
2017-06,2.02,7.22,-5.2,-72.0
2017-07,3.93,9.06,-5.13,-56.6
2017-08,6.04,9.89,-3.85,-38.9
2017-09,2.21,8.5,-6.29,-74.0
2017-10,12.08,9.89,2.19,22.1
2017-11,20.49,14.4,6.09,42.3
2017-12,9.29,11.3,-2.01,-17.8
2018-01,14.71,8.71,6.0,68.9
2018-02,13.56,9.95,3.61,36.3
2018-03,10.07,11.71,-1.64,-14.0
2018-04,12.79,9.14,3.65,39.9
2018-05,11.15,7.37,3.78,51.3
2018-06,8.2,7.22,0.98,13.6
2018-07,6.96,9.06,-2.1,-23.2
2018-08,43.3,9.89,33.41,337.8
2018-09,7.48,8.5,-1.02,-12.0
2018-10,17.74,9.89,7.85,79.4
2018-11,10.09,14.4,-4.31,-29.9
2018-12,9.39,11.3,-1.91,-16.9
2019-01,1.7,8.71,-7.01,-80.5
2019-02,9.67,9.95,-0.28,-2.8
2019-03,4.66,11.71,-7.05,-60.2
2019-04,13.01,9.14,3.87,42.3
2019-05,3.48,7.37,-3.89,-52.8
2019-06,4.12,7.22,-3.1,-42.9
2019-07,8.52,9.06,-0.54,-6.0
2019-08,9.8,9.89,-0.09,-0.9
2019-09,7.65,8.5,-0.85,-10.0
2019-10,12.01,9.89,2.12,21.4
2019-11,9.69,14.4,-4.71,-32.7
2019-12,10.67,11.3,-0.63,-5.6
2020-01,42.16,8.71,33.45,384.0
2020-02,7.31,9.95,-2.64,-26.5
2020-03,18.08,11.71,6.37,54.4
2020-04,6.16,9.14,-2.98,-32.6
2020-05,4.87,7.37,-2.5,-33.9
2020-06,3.47,7.22,-3.75,-51.9
2020-07,6.55,9.06,-2.51,-27.7
2020-08,4.39,9.89,-5.5,-55.6
2020-09,8.29,8.5,-0.21,-2.5
2020-10,3.21,9.89,-6.68,-67.5
2020-11,24.31,14.4,9.91,68.8
2020-12,10.09,11.3,-1.21,-10.7
2021-01,19.59,8.71,10.88,124.9
2021-02,11.99,9.95,2.04,20.5
2021-03,22.08,11.71,10.37,88.6
2021-04,10.15,9.14,1.01,11.1
2021-05,5.8,7.37,-1.57,-21.3
2021-06,2.52,7.22,-4.7,-65.1
2021-07,17.57,9.06,8.51,93.9
2021-08,7.63,9.89,-2.26,-22.9
2021-09,11.19,8.5,2.69,31.6
2021-10,18.5,9.89,8.61,87.1
2021-11,4.7,14.4,-9.7,-67.4
2021-12,19.37,11.3,8.07,71.4
2022-01,1.22,8.71,-7.49,-86.0
2022-02,5.67,9.95,-4.28,-43.0
2022-03,4.77,11.71,-6.94,-59.3
2022-04,13.64,9.14,4.5,49.2
2022-05,11.36,7.37,3.99,54.1
2022-06,5.94,7.22,-1.28,-17.7
2022-07,6.41,9.06,-2.65,-29.2
2022-08,4.27,9.89,-5.62,-56.8
2022-09,4.57,8.5,-3.93,-46.2
2022-10,6.1,9.89,-3.79,-38.3
2022-11,11.93,14.4,-2.47,-17.2
2022-12,5.9,11.3,-5.4,-47.8
2023-01,1.72,8.71,-6.99,-80.3
2023-02,34.41,9.95,24.46,245.8
2023-03,8.47,11.71,-3.24,-27.7
2023-04,7.55,9.14,-1.59,-17.4
2023-05,6.15,7.37,-1.22,-16.6
2023-06,4.87,7.22,-2.35,-32.5
2023-07,5.42,9.06,-3.64,-40.2
2023-08,4.75,9.89,-5.14,-52.0
2023-09,4.79,8.5,-3.71,-43.6
2023-10,1.26,9.89,-8.63,-87.3
2023-11,11.73,14.4,-2.67,-18.5
2023-12,7.33,11.3,-3.97,-35.1
2024-01,2.5,8.71,-6.21,-71.3
2024-02,5.45,9.95,-4.5,-45.2
2024-03,13.61,11.71,1.9,16.2
2024-04,11.29,9.14,2.15,23.5
2024-05,10.06,7.37,2.69,36.5
2024-06,5.87,7.22,-1.35,-18.7
2024-07,5.83,9.06,-3.23,-35.7
2024-08,14.2,9.89,4.31,43.6
2024-09,7.14,8.5,-1.36,-16.0
2024-10,9.38,9.89,-0.51,-5.2
2024-11,17.11,14.4,2.71,18.8
2024-12,2.49,11.3,-8.81,-78.0
2025-01,5.36,8.71,-3.35,-38.5
2025-02,1.28,9.95,-8.67,-87.1
2025-03,8.96,11.71,-2.75,-23.5
2025-04,2.08,9.14,-7.06,-77.2
2025-05,5.44,7.37,-1.93,-26.2
2025-06,9.28,7.22,2.06,28.5
2025-07,6.82,9.06,-2.24,-24.7
2025-08,3.34,9.89,-6.55,-66.2
2025-09,5.49,8.5,-3.01,-35.4
2025-10,8.23,9.89,-1.66,-16.8
2025-11,18.34,14.4,3.94,27.4
2025-12,5.51,11.3,-5.79,-51.2
2026-01,10.96,8.71,2.25,25.8
2026-02,17.13,9.95,7.18,72.2
2026-03,16.72,11.71,5.01,42.8
2026-04,8.22,9.14,-0.92,-10.1
2026-05,16.57,7.37,9.2,124.8
2026-06,11.29,7.22,4.07,56.4
2026-07,12.88,9.06,3.82,42.2
2026-08,19.91,9.89,10.02,101.3
