year_month,rainfall_in,normal_in,anomaly_in,anomaly_pct
1990-01,26.18,8.71,17.47,200.6
1990-02,15.45,9.95,5.5,55.3
1990-03,9.31,11.71,-2.4,-20.5
1990-04,3.72,9.14,-5.42,-59.3
1990-05,7.65,7.37,0.28,3.8
1990-06,8.81,7.22,1.59,22.0
1990-07,9.19,9.06,0.13,1.4
1990-08,7.55,9.89,-2.34,-23.7
1990-09,18.48,8.5,9.98,117.4
1990-10,21.37,9.89,11.48,116.1
1990-11,37.69,14.4,23.29,161.7
1990-12,25.25,11.3,13.95,123.5
1991-01,4.27,8.71,-4.44,-51.0
1991-02,9.85,9.95,-0.1,-1.0
1991-03,29.5,11.71,17.79,151.9
1991-04,10.52,9.14,1.38,15.1
1991-05,8.01,7.37,0.64,8.7
1991-06,8.19,7.22,0.97,13.4
1991-07,8.98,9.06,-0.08,-0.9
1991-08,20.84,9.89,10.95,110.7
1991-09,8.57,8.5,0.07,0.8
1991-10,4.92,9.89,-4.97,-50.3
1991-11,7.79,14.4,-6.61,-45.9
1991-12,12.95,11.3,1.65,14.6
1992-01,1.6,8.71,-7.11,-81.6
1992-02,1.54,9.95,-8.41,-84.5
1992-03,3.26,11.71,-8.45,-72.2
1992-04,5.18,9.14,-3.96,-43.3
1992-05,3.12,7.37,-4.25,-57.7
1992-06,8.13,7.22,0.91,12.6
1992-07,15.35,9.06,6.29,69.4
1992-08,11.79,9.89,1.9,19.2
1992-09,15.82,8.5,7.32,86.1
1992-10,3.77,9.89,-6.12,-61.9
1992-11,24.43,14.4,10.03,69.7
1992-12,14.83,11.3,3.53,31.2
1993-01,2.5,8.71,-6.21,-71.3
1993-02,2.71,9.95,-7.24,-72.8
1993-03,10.75,11.71,-0.96,-8.2
1993-04,8.17,9.14,-0.97,-10.6
1993-05,6.52,7.37,-0.85,-11.5
1993-06,6.3,7.22,-0.92,-12.7
1993-07,17.25,9.06,8.19,90.4
1993-08,8.55,9.89,-1.34,-13.5
1993-09,4.91,8.5,-3.59,-42.2
1993-10,9.78,9.89,-0.11,-1.1
1993-11,10.03,14.4,-4.37,-30.3
1993-12,14.68,11.3,3.38,29.9
1994-01,10.22,8.71,1.51,17.3
1994-02,23.73,9.95,13.78,138.5
1994-03,19.02,11.71,7.31,62.4
1994-04,9.47,9.14,0.33,3.6
1994-05,7.66,7.37,0.29,3.9
1994-06,13.03,7.22,5.81,80.5
1994-07,11.99,9.06,2.93,32.3
1994-08,13.44,9.89,3.55,35.9
1994-09,20.04,8.5,11.54,135.8
1994-10,8.5,9.89,-1.39,-14.1
1994-11,36.39,14.4,21.99,152.7
1994-12,6.42,11.3,-4.88,-43.2
1995-01,5.13,8.71,-3.58,-41.1
1995-02,1.41,9.95,-8.54,-85.8
1995-03,4.68,11.71,-7.03,-60.0
1995-04,9.23,9.14,0.09,1.0
1995-05,7.79,7.37,0.42,5.7
1995-06,4.56,7.22,-2.66,-36.8
1995-07,13.21,9.06,4.15,45.8
1995-08,13.39,9.89,3.5,35.4
1995-09,4.47,8.5,-4.03,-47.4
1995-10,7.54,9.89,-2.35,-23.8
1995-11,8.63,14.4,-5.77,-40.1
1995-12,3.17,11.3,-8.13,-71.9
1996-01,11.88,8.71,3.17,36.4
1996-02,11.96,9.95,2.01,20.2
1996-03,15.11,11.71,3.4,29.0
1996-04,6.11,9.14,-3.03,-33.2
1996-05,3.64,7.37,-3.73,-50.6
1996-06,9.74,7.22,2.52,34.9
1996-07,11.5,9.06,2.44,26.9
1996-08,4.62,9.89,-5.27,-53.3
1996-09,6.79,8.5,-1.71,-20.1
1996-10,10.18,9.89,0.29,2.9
1996-11,12.86,14.4,-1.54,-10.7
1996-12,4.69,11.3,-6.61,-58.5
1997-01,1.67,8.71,-7.04,-80.8
1997-02,9.64,9.95,-0.31,-3.1
1997-03,17.16,11.71,5.45,46.5
1997-04,4.86,9.14,-4.28,-46.8
1997-05,9.87,7.37,2.5,33.9
1997-06,21.39,7.22,14.17,196.3
1997-07,17.36,9.06,8.3,91.6
1997-08,5.15,9.89,-4.74,-47.9
